Date,0,1,2,3,4
1986-01-31,0.5338153190948669,0.5338153190948669,0.5338153190948669,0.5338153190948669,0.5338153190948669
1986-02-28,0.5542852089790662,0.5542852089790662,0.5542852089790662,0.5542852089790662,0.5542852089790662
1986-03-31,0.49451700691708117,0.49451700691708117,0.49451700691708117,0.49451700691708117,0.49451700691708117
1986-04-30,0.5086079180658941,0.5086079180658941,0.5086079180658941,0.5086079180658941,0.5086079180658941
1986-05-31,0.5710571961656494,0.5710571961656494,0.5710571961656494,0.5710571961656494,0.5710571961656494
1986-06-30,0.7339439730883867,0.7339439730883867,0.7339439730883867,0.7339439730883867,0.7339439730883867
1986-07-31,0.6874633298017689,0.6874633298017689,0.6874633298017689,0.6874633298017689,0.6874633298017689
1986-08-31,0.6467427254199837,0.6467427254199837,0.6467427254199837,0.6467427254199837,0.6467427254199837
1986-09-30,0.7267752941661136,0.7267752941661136,0.7267752941661136,0.7267752941661136,0.7267752941661136
1986-10-31,0.6409503411872415,0.6409503411872415,0.6409503411872415,0.6409503411872415,0.6409503411872415
1986-11-30,0.5853359375665389,0.5853359375665389,0.5853359375665389,0.5853359375665389,0.5853359375665389
1986-12-31,0.3954794272675037,0.3954794272675037,0.3954794272675037,0.3954794272675037,0.3954794272675037
1987-01-31,0.4311790604231941,0.4311790604231941,0.4311790604231941,0.4311790604231941,0.4311790604231941
1987-02-28,0.43311527953669676,0.43311527953669676,0.43311527953669676,0.43311527953669676,0.43311527953669676
1987-03-31,0.3686652037580631,0.3686652037580631,0.3686652037580631,0.3686652037580631,0.3686652037580631
1987-04-30,0.6127099494693298,0.6127099494693298,0.6127099494693298,0.6127099494693298,0.6127099494693298
1987-05-31,0.6839912106438041,0.6839912106438041,0.6839912106438041,0.6839912106438041,0.6839912106438041
1987-06-30,0.9224998626685584,0.9224998626685584,0.9224998626685584,0.9224998626685584,0.9224998626685584
1987-07-31,0.7854509884163149,0.7854509884163149,0.7854509884163149,0.7854509884163149,0.7854509884163149
1987-08-31,0.7501478073583245,0.7501478073583245,0.7501478073583245,0.7501478073583245,0.7501478073583245
1987-09-30,0.809529508558028,0.809529508558028,0.809529508558028,0.809529508558028,0.809529508558028
1987-10-31,0.646284902214573,0.646284902214573,0.646284902214573,0.646284902214573,0.646284902214573
1987-11-30,0.614437696884082,0.614437696884082,0.614437696884082,0.614437696884082,0.614437696884082
1987-12-31,0.4394198975099443,0.4394198975099443,0.4394198975099443,0.4394198975099443,0.4394198975099443
1988-01-31,0.44825054225189753,0.44825054225189753,0.44825054225189753,0.44825054225189753,0.44825054225189753
1988-02-29,0.5202028325985049,0.5202028325985049,0.5202028325985049,0.5202028325985049,0.5202028325985049
1988-03-31,0.5447527069886942,0.5447527069886942,0.5447527069886942,0.5447527069886942,0.5447527069886942
1988-04-30,0.5798467309542215,0.5798467309542215,0.5798467309542215,0.5798467309542215,0.5798467309542215
1988-05-31,0.571652928910267,0.571652928910267,0.571652928910267,0.571652928910267,0.571652928910267
1988-06-30,0.7669222814522344,0.7669222814522344,0.7669222814522344,0.7669222814522344,0.7669222814522344
1988-07-31,0.7753443430418392,0.7753443430418392,0.7753443430418392,0.7753443430418392,0.7753443430418392
1988-08-31,0.8193962528677424,0.8193962528677424,0.8193962528677424,0.8193962528677424,0.8193962528677424
1988-09-30,0.72828612839731,0.72828612839731,0.72828612839731,0.72828612839731,0.72828612839731
1988-10-31,0.7175376539220396,0.7175376539220396,0.7175376539220396,0.7175376539220396,0.7175376539220396
1988-11-30,0.5376871556687878,0.5376871556687878,0.5376871556687878,0.5376871556687878,0.5376871556687878
1988-12-31,0.48488694665864507,0.48488694665864507,0.48488694665864507,0.48488694665864507,0.48488694665864507
1989-01-31,0.4841571322759277,0.4841571322759277,0.4841571322759277,0.4841571322759277,0.4841571322759277
1989-02-28,0.351274145180707,0.351274145180707,0.351274145180707,0.351274145180707,0.351274145180707
1989-03-31,0.456841585424838,0.456841585424838,0.456841585424838,0.456841585424838,0.456841585424838
1989-04-30,0.5294654523251064,0.5294654523251064,0.5294654523251064,0.5294654523251064,0.5294654523251064
1989-05-31,0.8165900559126463,0.8165900559126463,0.8165900559126463,0.8165900559126463,0.8165900559126463
1989-06-30,0.7238091710752517,0.7238091710752517,0.7238091710752517,0.7238091710752517,0.7238091710752517
1989-07-31,0.821354632132103,0.821354632132103,0.821354632132103,0.821354632132103,0.821354632132103
1989-08-31,0.8113436453120595,0.8113436453120595,0.8113436453120595,0.8113436453120595,0.8113436453120595
1989-09-30,0.6885961380571389,0.6885961380571389,0.6885961380571389,0.6885961380571389,0.6885961380571389
1989-10-31,0.5065170826242215,0.5065170826242215,0.5065170826242215,0.5065170826242215,0.5065170826242215
1989-11-30,0.6190962774915867,0.6190962774915867,0.6190962774915867,0.6190962774915867,0.6190962774915867
1989-12-31,0.43622051030073483,0.43622051030073483,0.43622051030073483,0.43622051030073483,0.43622051030073483
1990-01-31,0.48826983027461873,0.48826983027461873,0.48826983027461873,0.48826983027461873,0.48826983027461873
1990-02-28,0.33376896187553307,0.33376896187553307,0.33376896187553307,0.33376896187553307,0.33376896187553307
1990-03-31,0.45385726684433825,0.45385726684433825,0.45385726684433825,0.45385726684433825,0.45385726684433825
1990-04-30,0.6699122431141865,0.6699122431141865,0.6699122431141865,0.6699122431141865,0.6699122431141865
1990-05-31,0.7725243240612149,0.7725243240612149,0.7725243240612149,0.7725243240612149,0.7725243240612149
1990-06-30,0.6269749899351637,0.6269749899351637,0.6269749899351637,0.6269749899351637,0.6269749899351637
